bucket,count
2026-05-06T13:22:20,2
2026-05-06T13:22:30,7
2026-05-06T13:22:40,5
2026-05-06T13:22:50,5
2026-05-06T13:23:00,6
2026-05-06T13:23:10,5
2026-05-06T13:23:20,5
2026-05-06T13:23:30,6
2026-05-06T13:23:40,5
2026-05-06T13:23:50,5
2026-05-06T13:24:00,6
2026-05-06T13:24:10,5
2026-05-06T13:24:20,5
2026-05-06T13:24:30,6
2026-05-06T13:24:40,6
2026-05-06T13:24:50,5
2026-05-06T13:25:00,6
2026-05-06T13:25:10,5
2026-05-06T13:25:20,5
2026-05-06T13:25:30,6
2026-05-06T13:25:40,5
2026-05-06T13:25:50,5
2026-05-06T13:26:00,6
2026-05-06T13:26:10,5
2026-05-06T13:26:20,5
2026-05-06T13:26:30,6
2026-05-06T13:26:40,5
2026-05-06T13:26:50,6
2026-05-06T13:27:00,6
2026-05-06T13:27:10,5
2026-05-06T13:27:20,5
2026-05-06T13:27:30,6
2026-05-06T13:27:40,5
2026-05-06T13:27:50,5
2026-05-06T13:28:00,6
2026-05-06T13:28:10,5
2026-05-06T13:28:20,5
2026-05-06T13:28:30,6
2026-05-06T13:28:40,5
2026-05-06T13:28:50,5
2026-05-06T13:29:00,7
2026-05-06T13:29:10,5
2026-05-06T13:29:20,5
2026-05-06T13:29:30,6
2026-05-06T13:29:40,5
2026-05-06T13:29:50,5
2026-05-06T13:30:00,6
2026-05-06T13:30:10,4
